#####################################################
#
# CS-CORPUS-EMNLP
#
# Version: 0.1
# Last update: (2015/05/30)
# Authors: David Vilares, Miguel A. Alonso and Carlos Gómez-Rodríguez
# -----------------------------------------
#
# CS-CORPUS-EMNLP is a manually-built polarity corpus for code-switching tweets (Spanish-English).
#
# Please, cite the following paper if you are using this resource:
# Vilares, David and Alonso, Miguel A. and Gómez-Rodríguez, Carlos, "Sentiment Analysis on Monolingual, MultiLingual and Code-Switching Twitter Corpora", in 6th Workshop on Computational Approaches to Subjectivity, Sentiment & Social Media Analysis (WASSA 2015), Lisbon, Portugal, 2015
#
# License
# -----------
#
# This resource is distributed under the Lesser General Public License For Linguistic Resources (LGPLLR). You will find the license at http://sanskrit.inria.fr/DATA/LGPLLR.html
#
#######################################################
Pos	Neg	ID	Text
1	3	432765859962970113	@chelita1123 omg I'm done with you Un Dia Te cuento /.-
1	1	364804928964800512	I have no clue: No tengo ni idea. Person 1: Where’s Sarah? Person 2: I have no clue.
1	1	417142922203525120	Aveces namas me kiero poner tape and abrirmelos
1	1	421189459703394304	@xobrieee_ ni near con los tiburones !!!
1	2	421906328882118656	Yazmin anda de cochina kitandose el brasiel lol
2	2	422852293193502720	@VHC95 lol like en serio !!! Como cren que voy a pasar la classe sin libro
1	1	417150706924421120	I cant say much cause i was one of the girls tht wore makeup before their 15.. but i only wore mascara.
2	2	416811590218829824	@lopezgomezbeca yeah I know!! :) and I went to acc this past semester but I did it online which was not the best idea..and most likely yes!
1	2	437840809652523008	@Milyl15 no pues casi todas lmao , watch the news lol that always puts me rite to sleep xD
2	1	433839277814726656	@Yaritzaa__ spm is firme lol
1	1	275705313905229824	Play tricks on: Algo así como "Bromear" Don’t play those tricks on me, you know I always fall for them!
1	5	430504459550982145	That girl did not just say shit to my sister /.-  Esa puta va amaneser colgada
1	3	431274640942440448	Got the ranfla waiting perro
2	1	347040145515626497	Early bird gets the worm: Al que madruda, Dios le ayuda
3	1	429077662280085504	@be_OSO_ar let's hope it's a good one primo
2	1	432182786296782850	@El_Ctoni haha es El ref del man utd cao
3	2	435892402234982400	yo solo se k Gano Barcelona!!!! Hates gonna hate lmao :D Ok bye.
1	2	431293530980753409	Cual Pinche forever Mejor Ponte Acer Algo Bueno
2	1	437291305987633152	Asi oh Mas Fuerte.
2	3	425124356860026880	Nice body yo? My assssss estot mas seca que un palo!
2	3	429102189416427520	Daaaaaaaaamn!!!!!!! Collazo es chingon!!!!
3	1	424420573498724352	Pues toma pa' que te enamore, more more ehh
2	2	429122078248169472	@crystal_jaimes @EricaYolli a chingao yo pa k lo kiero?? Im good..ay perdon! Antes ablas haha
2	1	438938146898579457	Lol I still remember that one time aaron threw a cañon at the guy across the street and he took of running jajajsja
1	1	421922642799497216	Telling my brothers hace rato about tht yahoos pg on insta and they both respond with "oooo let me find out who it is y no se la van acavar"
1	2	418874995029192704	@VHC95 don't trip I roll dank ass burritos :3
2	1	425757808416419840	@sanluispotoyees ntc baeee vamos al gym mejor:)
1	1	438155080521359362	@Patty__Vel pos duhhh
2	2	422851892377440256	@HoeBagg_Shelly it's lagging in me too #valiendoverg , hahaha ni te creo xD , this semester gunna fast btw so the work will pile up
1	1	432767022242340864	@fartonmyfaceplz yeah daw SLP el
3	1	432746334588661760	@hellachingona haha nahh Fabian don't get mad iraa smiley face el
2	1	308742800298610688	@Urkatu :) es una frase q yo uso sorry no la expliqué para decir q de verdad ellos no hablan rápido, nosotros entrenamos el oído con audio +
2	4	294194843540922368	@aramis19 No me vayas a odiar por esta respuesta :( lo pensé mucho antes de dártela, pero quiero ser honesta sorry :( ...
3	1	438125036348522496	@Patty__Vel osea im super duper esmart!!!! Que cress lol thanks babes(:
2	3	428404004410761216	At least ami no me mandaron tanto a la chingada como a nohemi lmao
1	1	434189307931148288	Catch me chiefing at pescuesos
2	1	431126770733948928	@Milyl15 eso es todo , yo ando en classe hechandole ganas lol, de donde eres ?
1	1	432763905455042560	@chelita1123 Noo he has a life I Ni Se mete
2	1	436346989241176065	I was eating tacos de barbacoa RN and me akorde de oomf lol
2	1	435448005005565952	That wiz k is fuegoo
2	1	417480532016918528	After this I'm just gonna go home drink summ hot chocolate con bolillo and sleep
3	1	435313585149857793	@Milyl15 lol te conviene xque ahora puedes ir a garar de la buena
2	2	432700580369145857	Yo Pense que Nomas Iva ir a comer no a Limpiar  lol Jk
2	1	422140196428054529	@dankykaren_ hahah del 4thc ? idk I had some exotic og lol it was okay cx
1	1	415955172234240000	Nvm 40 pesos but still
2	2	422899896082243584	1. Ke they accept me en la milby 2.ke medieron una shot and me andaba muriendo & 3.ke me acabo de caer del techo lol
1	3	414929917189451776	Sorry primo i flipped i swear Ever sounded like your cousin -.- @dmag473
1	2	420946220635283458	Its always "Alex esto, Alex el otro" osea hello you have two daughters no nomas una!!!
2	1	418998894735798272	Diciendole a su amigo ke me agrege en fb chorros lol
3	1	422636132602372096	@_BBonjour I want some carnitas y tacos lol idk I wanna eat good !!! Lets go to a taco spot or what haha ?
1	1	431221030221144064	@Milyl15 cual collegio ? I goto @elac
1	1	432939692367937536	Or some shrimp tacos de baja
2	2	427696849252663296	Como Estan kresiendo ya Todas (': I yo sigo Aki De chikilla
1	1	435910665744551936	@Milyl15 comete something
1	1	436058713120444416	Mañana es un Nuevo dia #TwitterOff
1	3	292058403587620865	Stuck in traffic: Atrapado en tráfico. I was stuck in traffic for so long that I missed my appointment.
1	1	293411367585710080	Literalmente "let me go" es déjame ir y "let go of me" es suéltame, aunque let me go se entiende y se  usa, Let go of me se usa MUCHO
3	2	433095502918197248	Y Me Vale Vergaaaa si les cala!!! Cause I know most of you used to love It & dance it at some point haha Asi K Se Chingaron jajaja
3	1	430121200702865408	My manager is so cool el chimuelo no el de los cute eyes si lol
